Group,Excellent ratio,Good ratio,Pass ratio,Fail ratio
0,0.21229508635073757,0.3325429775366816,0.266255207778983,0.18890672833359773
1,0.17388283289992618,0.2501333092301874,0.4038294111230279,0.17215444674685842
2,0.231902873774473,0.29586472606326336,0.316766300704424,0.15546609945783968
3,0.24213474950939762,0.28432391328594797,0.37012042051599375,0.10342091668866078
4,0.166056932791298,0.38614425451030504,0.25914280115799454,0.18865601154040249
5,0.18500902687806414,0.2503039976194352,0.40510008367876216,0.15958689182373847
6,0.20327879520644437,0.28252352897497407,0.3459848498860638,0.16821282593251774
7,0.15878236678226298,0.23127444946154746,0.46504507567985354,0.14489810807633607
8,0.12220614097158748,0.13203714827952803,0.650647864772274,0.09510884597661048
9,0.14359858520738183,0.2587718901277656,0.42157649894030413,0.17605302572454834
10,0.09456152473980095,0.1979426240914794,0.45817300386344245,0.24932284730527726
11,0.14754415861237818,0.25087148707519136,0.44564214040567185,0.1559422139067586
12,0.2336331303108529,0.25681576432015707,0.464562178544373,0.044988926824617054
13,0.15758903641094532,0.2559387541371959,0.39187188749893703,0.19460032195292193
14,0.335839071925255,0.4047923801410278,0.2164386044037383,0.04292994352997913
15,0.18016422554379152,0.23530493427667604,0.4653247084001264,0.11920613177940609
16,0.23438667331909702,0.28133435378383187,0.44758518902057687,0.03669378387649425
17,0.1634703801357541,0.2210641840943719,0.4582654422602944,0.15719999350957953
18,0.1533828675586436,0.21132924171054704,0.574873395508026,0.06041449522278343
19,0.15948593156087473,0.2497808682151125,0.4512501460635786,0.13948305416043416
20,0.16397235595721876,0.33061467150544965,0.3375184158259428,0.1678945567113887
21,0.1718390428349168,0.2419059249989625,0.4736786794217438,0.1125763527443768
22,0.15101257105956156,0.45957480337664236,0.23659683151933703,0.15281579404445905
23,0.1556535277670687,0.23689528206441046,0.4588107506382554,0.14864043953026543
24,0.1323183252791431,0.44688879632162415,0.1412665330060695,0.27952634539316307
25,0.17808978246233362,0.25693353517417894,0.4331410392351606,0.13183564312832685
26,0.31166178778148435,0.427307515856571,0.20593541383593492,0.05509528252600976
27,0.1646785120482389,0.24947942106367896,0.4085219025198118,0.17732016436827036
28,0.31932196364219223,0.4052986370360886,0.21473341494197273,0.06064598437974652
29,0.1779461346842771,0.24849656747427118,0.46331609617382863,0.1102412016676231
30,0.17498191154206938,0.2143308921849205,0.4999445248624934,0.11074267141051689
31,0.1675545001251083,0.2826452595506377,0.38083018077431685,0.1689700595499371
32,0.07466253697573738,0.08679947546409657,0.7955059220320841,0.04303206552808198
33,0.17071309581209912,0.27842152422744404,0.4166063318364186,0.13425904812403833
34,0.08271785323375817,0.09988230988751101,0.7617903652401039,0.05560947163862674
35,0.17199848427027326,0.27883825214209945,0.41727434386886203,0.13188891971876535
36,0.17250314096953934,0.20881469926864024,0.48302357940996987,0.1356585803518506
37,0.16303404186590764,0.24901934243567247,0.45745384522719224,0.1304927704712278
38,0.1654953149394285,0.1599878199585016,0.5929181772993477,0.0815986878027222
39,0.17849882848622223,0.2880446217010145,0.36169660201071974,0.17175994780204348
40,0.418272333288985,0.23179309393085984,0.3115700358800474,0.038364536900107674
41,0.18119300132587338,0.2585243423964815,0.4191880345097108,0.1410946217679344
42,0.16666455252518564,0.2276647573832828,0.5017561020430581,0.10391458804847362
43,0.16706358535709606,0.24151492676443925,0.4430701791031591,0.14835130877530556
44,0.1282919035864321,0.2125353111591235,0.4379679839888472,0.22120480126559733
45,0.1555118175360178,0.22428201026748507,0.49430739644179594,0.12589877575470138
46,0.14220293749806792,0.12474517010188244,0.6832980188076774,0.04975387359237257
47,0.1680633640552926,0.2551389562433379,0.40979310543185554,0.16700457426951382
48,0.14973825089419776,0.34542791839925757,0.35351977198697404,0.1513140587195706
49,0.1384852164336269,0.27176112684552794,0.3867660563004569,0.2029876004203881
50,0.09290705829123597,0.13721469009897536,0.7151408242960717,0.05473742731371693
51,0.1927916220961521,0.27199476579666254,0.3816817949041694,0.15353181720301584
52,0.08952179525453155,0.11028810771283748,0.758845047933125,0.041345049099505954
53,0.159405138682257,0.2721681210125166,0.380865758423506,0.18756098188172057
54,0.14123399051769137,0.14077079919454658,0.6686737361196493,0.04932147416811279
55,0.1702605110380485,0.2700936385473159,0.3842595348842718,0.17538631553036382
56,0.08081475599253403,0.10173521533637961,0.7698582956832107,0.0475917329878757
57,0.21130392538017487,0.23443983942718694,0.4314939114448424,0.1227623237477957
58,0.0777056947793996,0.0943549845019026,0.7847017306180528,0.043237590100645276
59,0.17602189226644557,0.2701556825884607,0.4035779863070429,0.1502444388380509
60,0.10226509952516002,0.09709490134905871,0.7703732875966489,0.030266711529132274
61,0.17613709534210842,0.24295839808145098,0.45506930787758326,0.1258351986988575
62,0.11487777191225385,0.24411803759874645,0.3844063121698738,0.256597878319126
63,0.14379972187530005,0.2334080002764884,0.5151149471899976,0.10767733065821404
64,0.1472525081168321,0.22804631111217794,0.42409011014191444,0.20061107062907552
65,0.1662094473195945,0.26040469211562256,0.3867364570433246,0.18664940352145853
66,0.16323030173906536,0.25960159867860894,0.38367697013733093,0.19349112944499486
67,0.17473437067124936,0.2579762830112581,0.4180977804741594,0.14919156584333312
68,0.255401338818902,0.28103589751351477,0.3325748275480435,0.13098793611953954
69,0.21660026856276604,0.2530062354504655,0.38565433246955655,0.1447391635172119
70,0.12458219067898207,0.4034338036654461,0.19589940413640797,0.2760846015191638
71,0.19577475527326677,0.26497821565918955,0.39043867579257185,0.148808353274972
72,0.21871994881547605,0.3056969001504912,0.2909271265867055,0.18465602444732737
73,0.16804769733892294,0.2393836872639113,0.45652257186115186,0.13604604353601393
74,0.11880612398488687,0.21270514683410277,0.47275464345060314,0.1957340857304072
75,0.1780719836887772,0.25481519348376525,0.4373480076843548,0.1297648151431026
76,0.10604661602801355,0.3683738824802709,0.24733220031443304,0.2782473011772824
77,0.14502773675346387,0.23682321395143008,0.4558022162474139,0.16234683304769199
78,0.11758688969312973,0.20662844645674033,0.5518996024326527,0.12388506141747732
79,0.17555931686951498,0.27019507527909464,0.4129239788828527,0.1413216289685376
80,0.12247916052892548,0.2721331876241989,0.3620016866558604,0.24338596519101507
81,0.13846649983923817,0.23955786429256448,0.4820441336997705,0.13993150216842676
82,0.11912768119723965,0.2239263705534357,0.3670775885884056,0.2898683596609191
83,0.1884336389073799,0.2668191231381331,0.3862907545390196,0.15845648341546748
84,0.129909516850734,0.22265820669006225,0.4637276238543848,0.1837046526048189
85,0.20262931675342666,0.2645174033912615,0.4073648681093477,0.1254884117459643
86,0.2242343141119158,0.32388934367223376,0.32154292829272546,0.1303334139231249
87,0.17731921323297944,0.24161453375897252,0.4311064128455485,0.1499598401624996
88,0.21734771730029392,0.35166145017448425,0.25989478617258865,0.17109604635263306
89,0.19659929072314003,0.2659156003770161,0.42727157025777895,0.11021353864206497
90,0.25681347226430196,0.4225461347809235,0.17989582092956238,0.14074457202521212
91,0.15830301609413158,0.24497229890412062,0.4393037610354321,0.15742092396631557
92,0.17126505746879717,0.3039081457083449,0.2583362005239932,0.2664905962988646
93,0.19586082132549162,0.2714850594004339,0.4165633596511347,0.11609075962293972
94,0.22172472730278897,0.21965816360406856,0.40639181123449336,0.15222529785864938
95,0.17744428239842486,0.2601928491589259,0.3719296492454164,0.190433219197233
96,0.1647067400615883,0.3217698904419747,0.26669862129071265,0.24682474820572436
97,0.15812262947815087,0.22863616357999755,0.46998297009526746,0.14325823684658426
98,0.18449172967752703,0.1680697656177856,0.551430035605703,0.09600846909898443
99,0.16648296165596155,0.2735390571935586,0.45881263929460964,0.1011653418558704
100,0.1311685768543608,0.18423772669002653,0.514261349292211,0.17033234716340173
101,0.1930521166378396,0.2687098125748943,0.4143970130671288,0.1238410577201371
102,0.16516726613731192,0.3148858637612104,0.32219266782577194,0.19775420227570584
103,0.16213473179174265,0.25016787921448247,0.4200419693157871,0.1676554196779879
104,0.17302820618544504,0.35537196149204875,0.2714524757900252,0.20014735653248095
105,0.16824381333299154,0.24428229397569018,0.4455645290880768,0.14190936360324152
106,0.08622670174971292,0.1381355371616005,0.7093384120790781,0.06629934900960839
107,0.18240976066926604,0.2926281546567407,0.3862764342660993,0.138685650407894
108,0.2281737629589689,0.2946568962048143,0.34431190077602847,0.13285744006018826
109,0.21427348455855985,0.2814680240288209,0.3777567571747343,0.12650173423788486
110,0.14132766873639918,0.26957576017892304,0.3595940376216936,0.22950253346298416
111,0.18117354984186831,0.24314239406522759,0.44533544787869783,0.1303486082142061
112,0.19270021975034216,0.31986480207715073,0.3551769764698833,0.13225800170262386
113,0.17192852452035182,0.24200646565842746,0.4448178582937264,0.14124715152749434
114,0.210775339177764,0.3781125915600986,0.19516004764996123,0.2159520216121762
115,0.14549225370651217,0.24376581460087116,0.4575742511387892,0.1531676805538274
116,0.08887378998427116,0.1031536646902406,0.734878679145062,0.07309386618042617
117,0.175710190982457,0.2797522935909816,0.36771219516107495,0.17682532026548636
118,0.07366353439561155,0.08772490030621799,0.8002979816418315,0.03831358365633869
119,0.18470009301353318,0.27060978786299295,0.4017406662736662,0.1429494528498077
